outcome,vaccine_group,age_group,prior_inf,Month0,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12
Cases,3-dose,18-49,Yes,84.5,79.9,74.5,68.47,61.6,53.9,46.6,,,,,,
Cases,3-dose,18-49,No,74.3,68.7,58.3,46.95,31.6,25.2,19.65,15.2,11.65,0,0,0,0
Cases,3-dose,50-64,Yes,84.5,79.9,74.5,68.47,61.6,53.9,46.6,,,,,,
Cases,3-dose,50-64,No,74.85,71.4,62.4,53.15,39.35,25.2,19.65,15.2,11.65,0,0,0,0
Cases,3-dose,65+,Yes,84.5,79.9,74.5,68.47,61.6,53.9,46.6,,,,,,
Cases,3-dose,65+,No,73.75,67.4,56.6,44.65,31.6,25.2,19.65,15.2,11.65,0,0,0,0
Cases,4-dose,18-49,Yes,,,,,,,,,,,,,
Cases,4-dose,18-49,No,87.63,83.3,74.98,63.4,45.28,32.15,19.65,15.2,11.65,0,0,0,0
Cases,4-dose,50-64,Yes,,,,,,,,,,,,,
Cases,4-dose,50-64,No,88,84.7,77.4,67.7,51.4,32.1,19.65,15.2,11.65,0,0,0,0
Cases,4-dose,65+,Yes,,,,,,,,,,,,,
Cases,4-dose,65+,No,87.3,82.6,73.9,61.8,45.3,32.1,19.65,15.2,11.65,0,0,0,0
Severe_Outcomes,3-dose,18-49,Yes,91.675,91.675,91.55,87.3,87.15,64.4,64.15,,,,,,
Severe_Outcomes,3-dose,18-49,No,89.53333333,89.83333333,88.63333333,84.26666667,82.96666667,66.1,64.03333333,74.15,69.8,,,,
Severe_Outcomes,3-dose,50-64,Yes,93.675,93.675,93.55,90.3,90.15,76.9,76.65,,,,,,
Severe_Outcomes,3-dose,50-64,No,91.3,91.43333333,90.3,86.2,84.86666667,75.43333333,73.6,72.9,72.6,,,,
Severe_Outcomes,3-dose,65+,Yes,93.675,93.675,93.55,92.3,92.15,82.9,82.65,,,,,,
Severe_Outcomes,3-dose,65+,No,91.36666667,91.46666667,90.36666667,88.13333333,86.83333333,79,76.8,75.25,71.135,,,,
Severe_Outcomes,4-dose,18-49,Yes,,,,,,,,,,,,,
Severe_Outcomes,4-dose,18-49,No,63.15,69.7,52.2,24.5,,,,,,,,,
Severe_Outcomes,4-dose,50-64,Yes,,,,,,,,,,,,,
Severe_Outcomes,4-dose,50-64,No,67.575,69.7,52.2,24.5,,,,,,,,,
Severe_Outcomes,4-dose,65+,Yes,,,,,,,,,,,,,
Severe_Outcomes,4-dose,65+,No,69.575,72.85,64.1,47.25,,,,,,,,,